Date,Temperature,Max Temperature,Lowest Temperature
2024/7/28,32.3,38.3,28.0
2024/7/29,32.4,39.4,26.3
2024/7/30,31.5,36.7,28.3
2024/7/31,31.4,36.8,28.2
2024/8/1,31.4,38.3,25.7
2024/8/2,32.4,38.7,27.0
2024/8/3,32.6,38.7,28.1
2024/8/4,30.5,35.8,25.8
2024/8/5,30.9,35.5,27.2
2024/8/6,30.8,36.4,27.0
2024/8/7,30.2,36.7,26.6
2024/8/8,30.2,36.6,24.2
2024/8/9,30.5,37.5,25.4
2024/8/10,29.8,34.9,26.1
2024/8/11,29.8,36.0,25.5
2024/8/12,29.8,34.9,25.4
2024/8/13,31.1,37.6,26.1
2024/8/14,31.4,37.9,26.7
2024/8/15,30.6,36.8,27.1
2024/8/16,29.2,32.9,27.2
2024/8/17,28.7,33.4,25.9
2024/8/18,30.7,37.1,25.1
2024/8/19,28.6,32.2,25.7
2024/8/20,27.0,32.7,23.5
2024/8/21,30.2,35.9,25.4
2024/8/22,31.7,37.9,26.8
2024/8/23,32.0,38.0,28.0
2024/8/24,31.2,37.7,27.4
2024/8/25,29.0,36.4,25.1
2024/8/26,29.3,35.0,25.5
2024/8/27,29.5,35.5,27.0
2024/8/28,28.4,32.7,25.8
2024/8/29,27.0,28.8,25.0
2024/8/30,30.2,34.8,27.0
2024/8/31,26.9,28.6,25.0
2024/9/1,27.2,31.8,23.9
2024/9/2,29.3,35.1,24.9
2024/9/3,27.3,31.6,24.7
2024/9/4,27.7,33.6,22.9
2024/9/5,28.7,34.8,24.0
2024/9/6,29.4,36.1,24.2
2024/9/7,29.8,35.6,24.8
2024/9/8,29.9,35.3,25.6
2024/9/9,30.2,36.0,25.4
2024/9/10,29.3,33.8,27.1
2024/9/11,30.7,36.6,25.8
2024/9/12,30.3,35.7,27.6
2024/9/13,30.3,36.3,27.0
2024/9/14,30.3,35.2,26.8
2024/9/15,30.5,35.6,27.5
2024/9/16,30.5,34.5,27.3
2024/9/17,30.9,36.4,26.5
2024/9/18,31.2,36.5,27.6
2024/9/19,31.2,36.3,27.5
2024/9/20,31.0,36.9,27.7
2024/9/21,29.9,33.4,28.5
2024/9/22,26.2,29.6,23.2
2024/9/23,24.6,29.0,21.7
2024/9/24,25.0,30.4,20.8
2024/9/25,25.2,29.9,21.3
2024/9/26,26.6,33.1,21.1
2024/9/27,26.7,31.5,23.5
2024/9/28,26.5,29.6,25.1
2024/9/29,25.1,27.0,23.7
2024/9/30,25.4,29.7,23.0
2024/10/1,26.0,32.5,21.1
2024/10/2,25.4,30.9,21.7
2024/10/3,21.7,23.6,20.9
2024/10/4,22.3,24.3,21.0
2024/10/5,22.6,27.7,19.4
2024/10/6,23.9,30.9,17.4
2024/10/7,23.4,28.8,20.1
2024/10/8,20.5,24.3,17.5
2024/10/9,20.8,26.3,17.3
2024/10/10,21.3,26.6,17.6
2024/10/11,20.3,26.3,16.0
2024/10/12,20.6,27.3,15.1
2024/10/13,21.4,28.6,16.0
2024/10/14,22.7,28.8,17.3
2024/10/15,22.9,25.7,20.6
2024/10/16,23.7,26.9,20.9
2024/10/17,23.6,29.5,18.9
2024/10/18,24.2,27.1,21.8
2024/10/19,22.8,26.5,18.2
2024/10/20,17.6,21.1,15.3
2024/10/21,19.7,24.6,14.6
2024/10/22,21.5,23.5,18.3
2024/10/23,24.6,28.9,21.6
2024/10/24,21.0,24.3,18.2
2024/10/25,20.3,25.6,17.7
2024/10/26,20.8,24.3,17.7
2024/10/27,22.1,26.3,18.1
2024/10/28,18.9,21.5,17.1
2024/10/29,17.9,19.2,16.9
2024/10/30,18.2,22.3,14.8
2024/10/31,16.8,21.1,12.3
2024/11/1,19.8,23.1,16.5
2024/11/2,19.4,20.6,18.1
2024/11/3,18.0,22.7,13.0
2024/11/4,17.5,25.0,11.2
2024/11/5,17.5,22.2,14.4
2024/11/6,15.7,20.0,12.8
2024/11/7,12.9,14.8,10.6
2024/11/8,11.8,18.1,7.8
2024/11/9,13.2,20.9,7.2
2024/11/10,16.3,22.3,9.7
2024/11/11,17.9,22.8,13.8
2024/11/12,16.9,23.7,11.6
2024/11/13,15.9,20.9,12.2
2024/11/14,15.6,20.1,10.3
2024/11/15,17.4,20.1,15.5
2024/11/16,17.6,19.6,14.3
2024/11/17,19.6,23.1,16.0
2024/11/18,13.0,17.2,8.0
2024/11/19,9.0,12.6,6.8
2024/11/20,10.6,15.3,6.6
2024/11/21,11.5,18.2,6.6
2024/11/22,12.0,18.4,6.9
2024/11/23,10.0,14.0,7.5
2024/11/24,9.0,12.1,5.7
2024/11/25,10.6,16.0,7.1
2024/11/26,14.7,18.6,9.4
2024/11/27,13.3,15.8,11.4
2024/11/28,10.2,14.4,6.6
2024/11/29,9.3,14.5,5.9
2024/11/30,9.7,14.2,5.6
2024/12/1,10.2,16.4,5.0
2024/12/2,10.7,17.1,5.5
2024/12/3,12.1,18.7,7.2
2024/12/4,10.1,14.1,6.1
2024/12/5,8.5,13.6,4.4
2024/12/6,9.0,14.2,3.9
2024/12/7,8.5,13.3,3.8
2024/12/8,7.0,11.0,5.0
2024/12/9,6.7,11.4,3.5
