user_id,item_id,sex,age,type,color
1,42,Women,20s,running,white
1,98,Kids,40s,boot,red
1,18,Men,10s,sandal,gray
1,68,Men,30s,basket,blue
1,25,Women,30s,golf,black
2,14,Women,20s,sandal,red
2,26,Women,40s,sneaker,brown
2,75,Women,60s+,running,blue
2,49,Men,40s,boot,other
2,28,Women,20s,boot,blue
3,11,Unknown,50s,sandal,white
3,28,Women,20s,boot,blue
3,95,Men,20s,sandal,black
3,81,Women,60s+,sandal,black
3,39,Men,30s,running,red
4,53,Women,20s,boot,other
4,70,Kids,60s+,boot,gray
4,91,Unknown,20s,golf,black
4,1,Women,20s,golf,white
4,33,Men,50s,boot,white
5,91,Unknown,20s,golf,black
5,34,Men,30s,sandal,blue
5,20,Women,20s,sandal,brown
5,19,Women,30s,running,brown
5,69,Men,20s,sneaker,white
6,61,Women,20s,basket,blue
6,49,Men,40s,boot,other
6,55,Men,20s,golf,black
6,7,Women,30s,basket,white
6,64,Women,30s,basket,other
7,26,Women,40s,sneaker,brown
7,69,Men,20s,sneaker,white
7,15,Men,40s,golf,white
7,88,Men,20s,sneaker,blue
7,50,Women,10s,golf,gray
8,63,Men,30s,golf,other
8,17,Women,30s,golf,black
8,75,Women,60s+,running,blue
8,9,Men,10s,sneaker,blue
8,20,Women,20s,sandal,brown
9,85,Women,50s,basket,blue
9,10,Women,50s,boot,red
9,44,Men,30s,running,red
9,71,Women,30s,basket,gray
9,93,Men,20s,sneaker,brown
10,80,Women,50s,sneaker,brown
10,100,Kids,30s,sandal,blue
10,97,Kids,40s,running,blue
10,58,Women,30s,boot,gray
10,85,Women,50s,basket,blue
11,51,Men,30s,sneaker,red
11,77,Men,30s,sneaker,other
11,71,Women,30s,basket,gray
11,74,Unknown,30s,running,black
11,44,Men,30s,running,red
12,100,Kids,30s,sandal,blue
12,80,Women,50s,sneaker,brown
12,16,Men,10s,basket,black
12,89,Men,10s,running,gray
12,31,Kids,40s,basket,red
13,54,Unknown,20s,basket,other
13,50,Women,10s,golf,gray
13,56,Women,20s,basket,brown
13,73,Men,40s,golf,blue
13,70,Kids,60s+,boot,gray
