date,brand,category,product,price,color,quantity
2026-01-20,New Balance,Accessery,Bags,9086,Red,3
2026-01-17,Adidas,Apparel,Jacket,19853,Black,1
2026-01-12,New Balance,Apparel,Bottoms,11779,Blue,2
2026-01-19,HOKA,Shoes,Hopara,18150,Red/Yellow,3
2026-01-10,Adidas,Apparel,Tops,14044,Grey,3
2026-01-15,NIKE,Other,Other,1211,Grey,1
2026-01-28,NIKE,Apparel,Jacket,13816,Blue,2
2026-01-17,Asics,Other,Other,3117,Red,2
2026-01-23,NIKE,Shoes,AIR MAX90,16500,Grey,2
2026-01-23,NIKE,Apparel,Tops,14591,Blue,3
2026-01-21,ON,Apparel,Bottoms,6933,White,3
2026-01-13,NIKE,Apparel,Outer,17349,Red,3
2026-01-24,HOKA,Shoes,Transport 2,22000,Black/White,3
2026-01-20,New Balance,Shoes,1906L,22000,White,3
2026-01-09,Asics,Other,Other,4273,Blue,1
2026-01-02,NIKE,Shoes,DUNK,15400,Black/White,2
2026-01-08,Adidas,Other,Other,4192,Black,3
2026-01-11,Asics,Shoes,Gel-Kayano,28600,Black,2
2026-01-28,Asics,Other,Other,4173,Red,2
2026-01-29,ON,Shoes,Cloudmonster,24200,Black/Red,1
2026-01-13,ON,Other,Other,3261,White,1
2026-01-14,Adidas,Shoes,Tobacco,15400,Grey,1
2026-01-28,Adidas,Shoes,Gazelle,15400,Black,2
2026-01-16,NIKE,Shoes,AIR MAX90,16500,Grey,3
2026-01-12,ON,Other,Other,1034,Red,1
2026-01-13,NIKE,Shoes,Vomero,22330,Brown,2
2026-01-04,Adidas,Shoes,Samba,15950,White,2
2026-01-04,Asics,Other,Other,3481,Red,1
2026-01-27,ON,Other,Other,4495,Black,3
2026-01-27,New Balance,Apparel,Jacket,16524,Grey,3
2026-01-31,Asics,Apparel,Outer,7374,White,3
2026-01-27,Adidas,Other,Other,4251,Red,1
2026-01-13,ON,Other,Other,911,Grey,2
2026-01-01,New Balance,Other,Other,1610,Black,3
2026-01-11,Adidas,Other,Other,4858,Blue,1
2026-01-24,Asics,Shoes,Metaspeed,29700,White,2
2026-01-20,Adidas,Accessery,Caps,3259,Blue,3
2026-01-18,NIKE,Other,Other,2843,Black,2
2026-01-12,Adidas,Accessery,Caps,13267,Black,2
2026-01-04,NIKE,Apparel,Bottoms,13155,Blue,1
2026-01-11,ON,Shoes,The Roger,25300,Grey,3
2026-01-16,NIKE,Apparel,Other,6653,Red,1
2026-01-06,New Balance,Other,Other,4101,Grey,2
2026-01-19,Adidas,Shoes,Tobacco,15400,Grey,2
2026-01-17,Adidas,Other,Other,3640,Blue,3
2026-01-08,ON,Apparel,Outer,10357,White,2
2026-01-28,New Balance,Accessery,Bags,7158,Blue,2
2026-01-04,Adidas,Other,Other,532,Blue,1
